,RunTime,Accuracy,Bal_Acc,Precision,Recall,F1,AUC,Year,Clf,Scaling,Sampling
2013_LR,0:00:10.446828,0.6415,0.634,0.2408,0.6231,0.6908,0.684,2013,LR,non,non
2013_LR_norm,0:00:15.668892,0.1537,0.5003,0.1532,0.9999,0.0419,0.6847,2013,LR,norm,non
2013_LR_stand,0:00:10.604943,0.5749,0.6322,0.2229,0.7147,0.6335,0.6804,2013,LR,stand,non
2013_LR_SMOTE,0:00:12.265173,0.6348,0.6348,0.6375,0.6247,0.6347,0.6863,2013,LR,non,SMOTE
2013_LR_SMOTE_norm,0:00:17.542452,0.5003,0.5003,0.5002,1.0,0.3341,0.6479,2013,LR,norm,SMOTE
2013_LR_SMOTE_stand,0:00:12.160419,0.6309,0.6309,0.6279,0.6429,0.6309,0.6799,2013,LR,stand,SMOTE
2013_LR_RandomUnder,0:00:10.190074,0.6326,0.6326,0.6352,0.6231,0.6326,0.6821,2013,LR,non,RandomUnder
2013_LR_RandomUnder_norm,0:00:15.704367,0.5003,0.5003,0.5001,0.9999,0.3341,0.6835,2013,LR,norm,RandomUnder
2013_LR_RandomUnder_stand,0:00:10.316353,0.6322,0.6322,0.6299,0.6414,0.6322,0.6791,2013,LR,stand,RandomUnder
2013_NB,0:00:10.121736,0.799,0.574,0.3075,0.2497,0.7903,0.6729,2013,NB,non,non
2013_NB_norm,0:00:10.207452,0.8469,0.5,0.0,0.0,0.7767,0.5751,2013,NB,norm,non
2013_NB_stand,0:00:10.163148,0.8469,0.5,0.0,0.0,0.7767,0.5659,2013,NB,stand,non
2013_NB_SMOTE,0:00:12.324301,0.5591,0.5591,0.6838,0.2199,0.5018,0.6832,2013,NB,non,SMOTE
2013_NB_SMOTE_norm,0:00:12.034166,0.5,0.5,0.0,0.0,0.3333,0.563,2013,NB,norm,SMOTE
2013_NB_SMOTE_stand,0:00:12.198068,0.5,0.5,0.0,0.0,0.3333,0.5527,2013,NB,stand,SMOTE
2013_NB_RandomUnder,0:00:10.067542,0.5726,0.5726,0.7048,0.2497,0.5228,0.6707,2013,NB,non,RandomUnder
2013_NB_RandomUnder_norm,0:00:09.709392,0.5,0.5,0.0,0.0,0.3333,0.5722,2013,NB,norm,RandomUnder
2013_NB_RandomUnder_stand,0:00:09.769453,0.5,0.5,0.0,0.0,0.3333,0.5558,2013,NB,stand,RandomUnder
2013_DT,0:00:09.791189,0.5773,0.6274,0.2214,0.6995,0.6358,0.6687,2013,DT,non,non
2013_DT_norm,0:00:09.882805,0.5038,0.6176,0.2055,0.7817,0.5644,0.6473,2013,DT,norm,non
2013_DT_stand,0:00:09.853673,0.4446,0.608,0.1955,0.8436,0.499,0.6515,2013,DT,stand,non
2013_DT_SMOTE,0:00:11.402730,0.6315,0.6315,0.6141,0.7077,0.6293,0.6556,2013,DT,non,SMOTE
2013_DT_SMOTE_norm,0:00:11.694479,0.6354,0.6354,0.5993,0.8172,0.6229,0.6527,2013,DT,norm,SMOTE
2013_DT_SMOTE_stand,0:00:11.639808,0.6354,0.6354,0.5993,0.8172,0.6229,0.6445,2013,DT,stand,SMOTE
2013_DT_RandomUnder,0:00:09.623312,0.6265,0.6265,0.6104,0.6995,0.6245,0.6661,2013,DT,non,RandomUnder
2013_DT_RandomUnder_norm,0:00:09.673921,0.6168,0.6168,0.5878,0.7817,0.6061,0.6454,2013,DT,norm,RandomUnder
2013_DT_RandomUnder_stand,0:00:09.676620,0.6168,0.6168,0.5878,0.7817,0.6061,0.6518,2013,DT,stand,RandomUnder
2013_RF,0:00:27.184191,0.8464,0.5036,0.4312,0.0093,0.7791,0.6739,2013,RF,non,non
2013_RF_norm,0:00:23.770079,0.8469,0.5,0.0,0.0,0.7767,0.6052,2013,RF,norm,non
